day,declination_deg,max_elevation_deg,photoperiod_h,solar_density_kWh_m2,panel_eff_used,E_solar_day_kWh,P_total_W,E_consumption_24h_kWh,E_night_kWh,E_charge_needed_kWh,E_surplus_after_charge_kWh,E_storage_loss_kWh,margin_pct,verdict
272,-3.42,42.58,11.559,6.479,0.291,47.133,1592.0,38.207,19.805,21.528,7.204,1.722,18.86,MARGINAL
273,-3.82,42.18,11.507,6.407,0.291,46.612,1592.0,38.207,19.888,21.617,6.676,1.729,17.47,MARGINAL
274,-4.22,41.78,11.456,6.336,0.291,46.092,1592.0,38.207,19.97,21.706,6.148,1.737,16.09,MARGINAL
275,-4.61,41.39,11.404,6.264,0.291,45.573,1592.0,38.207,20.052,21.795,5.622,1.744,14.72,MARGINAL
276,-5.01,40.99,11.353,6.193,0.291,45.055,1592.0,38.207,20.134,21.884,5.098,1.751,13.34,MARGINAL
277,-5.4,40.6,11.302,6.122,0.291,44.54,1592.0,38.207,20.215,21.973,4.575,1.758,11.97,MARGINAL
278,-5.79,40.21,11.25,6.052,0.291,44.025,1592.0,38.207,20.297,22.062,4.054,1.765,10.61,MARGINAL
279,-6.18,39.82,11.199,5.981,0.291,43.513,1592.0,38.207,20.378,22.15,3.534,1.772,9.25,MARGINAL
280,-6.57,39.43,11.148,5.911,0.291,43.003,1592.0,38.207,20.459,22.238,3.018,1.779,7.9,MARGINAL
281,-6.96,39.04,11.098,5.841,0.291,42.496,1592.0,38.207,20.54,22.326,2.503,1.786,6.55,MARGINAL
282,-7.34,38.66,11.047,5.772,0.291,41.991,1592.0,38.207,20.621,22.414,1.991,1.793,5.21,MARGINAL
283,-7.72,38.28,10.996,5.703,0.291,41.488,1592.0,38.207,20.701,22.501,1.481,1.8,3.88,MARGINAL
284,-8.1,37.9,10.946,5.634,0.291,40.989,1592.0,38.207,20.781,22.588,0.975,1.807,2.55,MARGINAL
285,-8.48,37.52,10.896,5.566,0.291,40.493,1592.0,38.207,20.861,22.675,0.472,1.814,1.23,MARGINAL
286,-8.86,37.14,10.846,5.498,0.291,39.999,1592.0,38.207,20.941,22.761,-0.028,1.821,-0.07,DEFICIT
287,-9.23,36.77,10.796,5.431,0.291,39.51,1592.0,38.207,21.02,22.848,-0.525,1.828,-1.37,DEFICIT
288,-9.6,36.4,10.747,5.364,0.291,39.024,1592.0,38.207,21.099,22.933,-1.018,1.835,-2.66,DEFICIT
289,-9.97,36.03,10.697,5.298,0.291,38.541,1592.0,38.207,21.177,23.019,-1.507,1.841,-3.94,DEFICIT
290,-10.33,35.67,10.648,5.232,0.291,38.063,1592.0,38.207,21.255,23.104,-1.992,1.848,-5.21,DEFICIT
291,-10.69,35.31,10.599,5.167,0.291,37.589,1592.0,38.207,21.333,23.188,-2.473,1.855,-6.47,DEFICIT
292,-11.05,34.95,10.551,5.102,0.291,37.119,1592.0,38.207,21.41,23.272,-2.95,1.862,-7.72,DEFICIT
293,-11.4,34.6,10.502,5.038,0.291,36.653,1592.0,38.207,21.487,23.356,-3.422,1.868,-8.96,DEFICIT
294,-11.75,34.25,10.454,4.975,0.291,36.192,1592.0,38.207,21.564,23.439,-3.89,1.875,-10.18,DEFICIT
295,-12.1,33.9,10.407,4.912,0.291,35.736,1592.0,38.207,21.64,23.522,-4.352,1.882,-11.39,DEFICIT
296,-12.45,33.55,10.359,4.85,0.291,35.285,1592.0,38.207,21.715,23.604,-4.81,1.888,-12.59,DEFICIT
297,-12.79,33.21,10.312,4.789,0.291,34.839,1592.0,38.207,21.79,23.685,-5.263,1.895,-13.77,DEFICIT
298,-13.12,32.88,10.265,4.728,0.291,34.398,1592.0,38.207,21.865,23.766,-5.71,1.901,-14.95,DEFICIT
299,-13.45,32.55,10.219,4.668,0.291,33.963,1592.0,38.207,21.939,23.847,-6.152,1.908,-16.1,DEFICIT
300,-13.78,32.22,10.173,4.609,0.291,33.533,1592.0,38.207,22.012,23.926,-6.588,1.914,-17.24,DEFICIT
301,-14.11,31.89,10.127,4.551,0.291,33.108,1592.0,38.207,22.085,24.005,-7.019,1.92,-18.37,DEFICIT
302,-14.43,31.57,10.082,4.493,0.291,32.69,1592.0,38.207,22.157,24.084,-7.444,1.927,-19.48,DEFICIT
303,-14.74,31.26,10.037,4.437,0.291,32.277,1592.0,38.207,22.229,24.161,-7.863,1.933,-20.58,DEFICIT
304,-15.06,30.94,9.992,4.381,0.291,31.871,1592.0,38.207,22.299,24.238,-8.275,1.939,-21.66,DEFICIT
305,-15.36,30.64,9.948,4.326,0.291,31.47,1592.0,38.207,22.369,24.315,-8.682,1.945,-22.72,DEFICIT
306,-15.67,30.33,9.905,4.272,0.291,31.076,1592.0,38.207,22.439,24.39,-9.082,1.951,-23.77,DEFICIT
307,-15.96,30.04,9.862,4.218,0.291,30.689,1592.0,38.207,22.507,24.465,-9.475,1.957,-24.8,DEFICIT
308,-16.26,29.74,9.819,4.166,0.291,30.308,1592.0,38.207,22.575,24.538,-9.862,1.963,-25.81,DEFICIT
309,-16.55,29.45,9.777,4.115,0.291,29.934,1592.0,38.207,22.642,24.611,-10.242,1.969,-26.81,DEFICIT
310,-16.83,29.17,9.735,4.064,0.291,29.566,1592.0,38.207,22.708,24.683,-10.615,1.975,-27.78,DEFICIT
311,-17.11,28.89,9.694,4.015,0.291,29.206,1592.0,38.207,22.774,24.754,-10.982,1.98,-28.74,DEFICIT
312,-17.38,28.62,9.654,3.966,0.291,28.852,1592.0,38.207,22.838,24.824,-11.341,1.986,-29.68,DEFICIT
313,-17.65,28.35,9.614,3.918,0.291,28.505,1592.0,38.207,22.902,24.893,-11.693,1.991,-30.6,DEFICIT
314,-17.91,28.09,9.575,3.872,0.291,28.166,1592.0,38.207,22.964,24.961,-12.038,1.997,-31.51,DEFICIT
315,-18.17,27.83,9.536,3.826,0.291,27.834,1592.0,38.207,23.026,25.028,-12.375,2.002,-32.39,DEFICIT
316,-18.42,27.58,9.498,3.781,0.291,27.509,1592.0,38.207,23.086,25.094,-12.705,2.008,-33.25,DEFICIT
317,-18.67,27.33,9.461,3.738,0.291,27.192,1592.0,38.207,23.146,25.159,-13.027,2.013,-34.1,DEFICIT
318,-18.91,27.09,9.424,3.695,0.291,26.882,1592.0,38.207,23.204,25.222,-13.342,2.018,-34.92,DEFICIT
319,-19.15,26.85,9.388,3.654,0.291,26.58,1592.0,38.207,23.262,25.285,-13.649,2.023,-35.72,DEFICIT
320,-19.38,26.62,9.353,3.613,0.291,26.286,1592.0,38.207,23.318,25.346,-13.949,2.028,-36.51,DEFICIT
321,-19.6,26.4,9.318,3.574,0.291,25.999,1592.0,38.207,23.373,25.406,-14.24,2.032,-37.27,DEFICIT
322,-19.82,26.18,9.284,3.535,0.291,25.72,1592.0,38.207,23.427,25.464,-14.524,2.037,-38.01,DEFICIT
323,-20.03,25.97,9.251,3.498,0.291,25.45,1592.0,38.207,23.48,25.521,-14.799,2.042,-38.73,DEFICIT
324,-20.24,25.76,9.219,3.462,0.291,25.187,1592.0,38.207,23.531,25.577,-15.066,2.046,-39.43,DEFICIT
325,-20.44,25.56,9.187,3.427,0.291,24.932,1592.0,38.207,23.581,25.632,-15.326,2.051,-40.11,DEFICIT
326,-20.64,25.36,9.157,3.393,0.291,24.685,1592.0,38.207,23.63,25.685,-15.577,2.055,-40.77,DEFICIT
327,-20.82,25.18,9.127,3.36,0.291,24.446,1592.0,38.207,23.678,25.737,-15.82,2.059,-41.41,DEFICIT
328,-21.01,24.99,9.098,3.329,0.291,24.215,1592.0,38.207,23.724,25.787,-16.055,2.063,-42.02,DEFICIT
329,-21.18,24.82,9.07,3.298,0.291,23.993,1592.0,38.207,23.768,25.835,-16.281,2.067,-42.61,DEFICIT
330,-21.35,24.65,9.042,3.269,0.291,23.779,1592.0,38.207,23.812,25.882,-16.499,2.071,-43.18,DEFICIT
331,-21.52,24.48,9.016,3.24,0.291,23.573,1592.0,38.207,23.854,25.928,-16.708,2.074,-43.73,DEFICIT
332,-21.67,24.33,8.991,3.213,0.291,23.375,1592.0,38.207,23.894,25.972,-16.909,2.078,-44.26,DEFICIT
333,-21.83,24.17,8.966,3.187,0.291,23.186,1592.0,38.207,23.933,26.014,-17.102,2.081,-44.76,DEFICIT
334,-21.97,24.03,8.943,3.162,0.291,23.005,1592.0,38.207,23.97,26.054,-17.286,2.084,-45.24,DEFICIT
335,-22.11,23.89,8.92,3.139,0.291,22.833,1592.0,38.207,24.006,26.093,-17.462,2.087,-45.7,DEFICIT
336,-22.24,23.76,8.899,3.116,0.291,22.669,1592.0,38.207,24.04,26.13,-17.629,2.09,-46.14,DEFICIT
337,-22.36,23.64,8.879,3.095,0.291,22.513,1592.0,38.207,24.073,26.166,-17.787,2.093,-46.55,DEFICIT
338,-22.48,23.52,8.859,3.074,0.291,22.366,1592.0,38.207,24.103,26.199,-17.936,2.096,-46.95,DEFICIT
339,-22.59,23.41,8.841,3.055,0.291,22.228,1592.0,38.207,24.133,26.231,-18.077,2.098,-47.31,DEFICIT
340,-22.7,23.3,8.824,3.038,0.291,22.098,1592.0,38.207,24.16,26.261,-18.21,2.101,-47.66,DEFICIT
341,-22.8,23.2,8.807,3.021,0.291,21.977,1592.0,38.207,24.186,26.289,-18.333,2.103,-47.98,DEFICIT
342,-22.89,23.11,8.792,3.005,0.291,21.864,1592.0,38.207,24.21,26.315,-18.448,2.105,-48.28,DEFICIT
343,-22.97,23.03,8.778,2.991,0.291,21.76,1592.0,38.207,24.233,26.34,-18.554,2.107,-48.56,DEFICIT
344,-23.05,22.95,8.765,2.978,0.291,21.664,1592.0,38.207,24.253,26.362,-18.651,2.109,-48.82,DEFICIT
345,-23.12,22.88,8.753,2.966,0.291,21.577,1592.0,38.207,24.272,26.383,-18.74,2.111,-49.05,DEFICIT
346,-23.18,22.82,8.743,2.955,0.291,21.499,1592.0,38.207,24.289,26.401,-18.82,2.112,-49.26,DEFICIT
347,-23.24,22.76,8.733,2.946,0.291,21.43,1592.0,38.207,24.304,26.418,-18.891,2.113,-49.44,DEFICIT
348,-23.29,22.71,8.725,2.937,0.291,21.369,1592.0,38.207,24.318,26.432,-18.953,2.115,-49.61,DEFICIT
349,-23.34,22.66,8.717,2.93,0.291,21.316,1592.0,38.207,24.329,26.445,-19.006,2.116,-49.75,DEFICIT
350,-23.37,22.63,8.711,2.924,0.291,21.273,1592.0,38.207,24.339,26.455,-19.051,2.116,-49.86,DEFICIT
351,-23.4,22.6,8.706,2.919,0.291,21.238,1592.0,38.207,24.347,26.464,-19.086,2.117,-49.95,DEFICIT
352,-23.42,22.58,8.702,2.916,0.291,21.212,1592.0,38.207,24.353,26.471,-19.113,2.118,-50.02,DEFICIT
353,-23.44,22.56,8.7,2.913,0.291,21.194,1592.0,38.207,24.357,26.475,-19.131,2.118,-50.07,DEFICIT
354,-23.45,22.55,8.698,2.912,0.291,21.185,1592.0,38.207,24.359,26.478,-19.14,2.118,-50.1,DEFICIT
355,-23.45,22.55,8.698,2.912,0.291,21.185,1592.0,38.207,24.36,26.478,-19.14,2.118,-50.1,DEFICIT
356,-23.44,22.56,8.699,2.913,0.291,21.194,1592.0,38.207,24.359,26.477,-19.131,2.118,-50.07,DEFICIT
357,-23.43,22.57,8.701,2.916,0.291,21.211,1592.0,38.207,24.355,26.473,-19.114,2.118,-50.03,DEFICIT
358,-23.41,22.59,8.704,2.919,0.291,21.237,1592.0,38.207,24.35,26.468,-19.087,2.117,-49.96,DEFICIT
359,-23.39,22.61,8.709,2.924,0.291,21.272,1592.0,38.207,24.343,26.46,-19.052,2.117,-49.87,DEFICIT
360,-23.35,22.65,8.714,2.93,0.291,21.315,1592.0,38.207,24.334,26.45,-19.008,2.116,-49.75,DEFICIT
361,-23.31,22.69,8.721,2.937,0.291,21.367,1592.0,38.207,24.324,26.439,-18.955,2.115,-49.61,DEFICIT
362,-23.27,22.73,8.729,2.945,0.291,21.428,1592.0,38.207,24.311,26.425,-18.893,2.114,-49.45,DEFICIT
363,-23.21,22.79,8.738,2.955,0.291,21.497,1592.0,38.207,24.297,26.41,-18.822,2.113,-49.26,DEFICIT
364,-23.15,22.85,8.748,2.966,0.291,21.576,1592.0,38.207,24.281,26.392,-18.743,2.111,-49.06,DEFICIT
365,-23.09,22.91,8.759,2.978,0.291,21.662,1592.0,38.207,24.263,26.373,-18.654,2.11,-48.82,DEFICIT
